gene,category,subcategory
NNAT,Retinal markers (Lu 2020),AC/HC_Precurs
BASP1,Retinal markers (Lu 2020),AC/HC_Precurs
GPC2,Retinal markers (Lu 2020),AC/HC_Precurs
SLC6A9,Retinal markers (Lu 2020),AC/HC_Precurs
SNRPE,Retinal markers (Lu 2020),AC/HC_Precurs
H3F3A,Retinal markers (Lu 2020),AC/HC_Precurs
CLDN5,Retinal markers (Lu 2020),AC/HC_Precurs
PLXNA2,Retinal markers (Lu 2020),AC/HC_Precurs
SPON2,Retinal markers (Lu 2020),AC/HC_Precurs
RORB,Retinal markers (Lu 2020),AC/HC_Precurs
CD24,Retinal markers (Lu 2020),AC/HC_Precurs
VASH2,Retinal markers (Lu 2020),AC/HC_Precurs
EIF4A1,Retinal markers (Lu 2020),AC/HC_Precurs
BCL7A,Retinal markers (Lu 2020),AC/HC_Precurs
RP3-395M20.12,Retinal markers (Lu 2020),AC/HC_Precurs
TUBB3,Retinal markers (Lu 2020),AC/HC_Precurs
GRID2,Retinal markers (Lu 2020),AC/HC_Precurs
ATP6V0B,Retinal markers (Lu 2020),AC/HC_Precurs
BSG,Retinal markers (Lu 2020),AC/HC_Precurs
NHLH2,Retinal markers (Lu 2020),AC/HC_Precurs
TUBA1A,Retinal markers (Lu 2020),AC/HC_Precurs
HNRNPA1,Retinal markers (Lu 2020),AC/HC_Precurs
CRABP1,Retinal markers (Lu 2020),AC/HC_Precurs
MIR217HG,Retinal markers (Lu 2020),AC/HC_Precurs
NOL4,Retinal markers (Lu 2020),AC/HC_Precurs
S100A6,Retinal markers (Lu 2020),AC/HC_Precurs
HOMER3,Retinal markers (Lu 2020),AC/HC_Precurs
CENPV,Retinal markers (Lu 2020),AC/HC_Precurs
NKAIN4,Retinal markers (Lu 2020),AC/HC_Precurs
SEPT6,Retinal markers (Lu 2020),AC/HC_Precurs
EIF4A3,Retinal markers (Lu 2020),AC/HC_Precurs
FSCN1,Retinal markers (Lu 2020),AC/HC_Precurs
PTPRS,Retinal markers (Lu 2020),AC/HC_Precurs
TMEM51,Retinal markers (Lu 2020),AC/HC_Precurs
TAGLN3,Retinal markers (Lu 2020),AC/HC_Precurs
HN1,Retinal markers (Lu 2020),AC/HC_Precurs
TCF4,Retinal markers (Lu 2020),AC/HC_Precurs
RNF24,Retinal markers (Lu 2020),AC/HC_Precurs
ATOH7,Retinal markers (Lu 2020),AC/HC_Precurs
CECR5,Retinal markers (Lu 2020),AC/HC_Precurs
VKORC1,Retinal markers (Lu 2020),AC/HC_Precurs
HDAC2,Retinal markers (Lu 2020),AC/HC_Precurs
CELF3,Retinal markers (Lu 2020),AC/HC_Precurs
RBFOX3,Retinal markers (Lu 2020),AC/HC_Precurs
CCNG2,Retinal markers (Lu 2020),AC/HC_Precurs
NTRK1,Retinal markers (Lu 2020),AC/HC_Precurs
SCARB2,Retinal markers (Lu 2020),AC/HC_Precurs
APLP1,Retinal markers (Lu 2020),AC/HC_Precurs
FAM96B,Retinal markers (Lu 2020),AC/HC_Precurs
HEYL,Retinal markers (Lu 2020),AC/HC_Precurs
RPAIN,Retinal markers (Lu 2020),AC/HC_Precurs
NES,Retinal markers (Lu 2020),AC/HC_Precurs
DAPL1,Retinal markers (Lu 2020),AC/HC_Precurs
MIDN,Retinal markers (Lu 2020),AC/HC_Precurs
STMN1,Retinal markers (Lu 2020),AC/HC_Precurs
UBE2L6,Retinal markers (Lu 2020),AC/HC_Precurs
MEIS2,Retinal markers (Lu 2020),Amacrine Cells
TFAP2A,Retinal markers (Lu 2020),Amacrine Cells
RND3,Retinal markers (Lu 2020),Amacrine Cells
CELF4,Retinal markers (Lu 2020),Amacrine Cells
LHX9,Retinal markers (Lu 2020),Amacrine Cells
TFAP2B,Retinal markers (Lu 2020),Amacrine Cells
ZNF385D,Retinal markers (Lu 2020),Amacrine Cells
MIR181A1HG,Retinal markers (Lu 2020),Amacrine Cells
PAX6,Retinal markers (Lu 2020),Amacrine Cells
LMO4,Retinal markers (Lu 2020),Amacrine Cells
RTN1,Retinal markers (Lu 2020),Amacrine Cells
SOX4,Retinal markers (Lu 2020),Amacrine Cells
GAD2,Retinal markers (Lu 2020),Amacrine Cells
PCP4,Retinal markers (Lu 2020),Amacrine Cells
RUNX1T1,Retinal markers (Lu 2020),Amacrine Cells
RALYL,Retinal markers (Lu 2020),Amacrine Cells
TFAP2C,Retinal markers (Lu 2020),Amacrine Cells
CD24,Retinal markers (Lu 2020),Amacrine Cells
TAGLN3,Retinal markers (Lu 2020),Amacrine Cells
CRABP1,Retinal markers (Lu 2020),Amacrine Cells
RBFOX2,Retinal markers (Lu 2020),Amacrine Cells
HMP19,Retinal markers (Lu 2020),Amacrine Cells
NNAT,Retinal markers (Lu 2020),Amacrine Cells
NREP,Retinal markers (Lu 2020),Amacrine Cells
ZNF503,Retinal markers (Lu 2020),Amacrine Cells
ELAVL3,Retinal markers (Lu 2020),Amacrine Cells
JPH4,Retinal markers (Lu 2020),Amacrine Cells
FEZ1,Retinal markers (Lu 2020),Amacrine Cells
MLLT11,Retinal markers (Lu 2020),Amacrine Cells
MARCKSL1,Retinal markers (Lu 2020),Amacrine Cells
SCG5,Retinal markers (Lu 2020),Amacrine Cells
RPRM,Retinal markers (Lu 2020),Amacrine Cells
PLPPR1,Retinal markers (Lu 2020),Amacrine Cells
RP11-96L14.7,Retinal markers (Lu 2020),Amacrine Cells
